KundenID;Geschlecht;Geburtsdatum;Adresse;PLZ;Ort
10094;männlich;1975-02-08;Musterstraße 40;50667;Köln
10095;weiblich;1945-10-19;Musterstraße 72;20095;Hamburg
10096;divers;1950-01-23;Musterstraße 60;60311;Frankfurt
10097;weiblich;1984-08-09;Musterstraße 57;40213;Düsseldorf
10098;divers;1992-06-16;Musterstraße 12;40213;Düsseldorf
10099;weiblich;1941-08-26;Musterstraße 76;44135;Dortmund
10100;divers;1998-11-18;Musterstraße 71;70173;Stuttgart
10101;männlich;1947-07-05;Musterstraße 5;70173;Stuttgart
10102;männlich;1941-09-06;Musterstraße 63;44135;Dortmund
10103;männlich;1962-01-17;Musterstraße 29;45127;Essen
10104;divers;1986-03-03;Musterstraße 11;40213;Düsseldorf
10105;weiblich;1972-07-14;Musterstraße 48;10115;Berlin
10106;weiblich;1971-08-15;Musterstraße 92;45127;Essen
10107;männlich;1961-06-08;Musterstraße 63;10115;Berlin
10108;divers;1952-12-04;Musterstraße 8;60311;Frankfurt
10109;divers;1973-04-07;Musterstraße 38;20095;Hamburg
10110;weiblich;1982-02-01;Musterstraße 99;60311;Frankfurt
10111;weiblich;1976-04-03;Musterstraße 37;10115;Berlin
10112;divers;2001-07-19;Musterstraße 60;80331;München
10113;divers;1993-05-10;Musterstraße 66;60311;Frankfurt
10114;männlich;1957-09-15;Musterstraße 34;50667;Köln
10115;divers;1993-07-22;Musterstraße 98;70173;Stuttgart
10116;divers;2001-10-13;Musterstraße 50;60311;Frankfurt
10117;weiblich;1987-11-03;Musterstraße 47;40213;Düsseldorf
10118;männlich;1984-12-02;Musterstraße 81;50667;Köln
10119;weiblich;1956-03-29;Musterstraße 8;60311;Frankfurt
10120;weiblich;1997-11-09;Musterstraße 32;60311;Frankfurt
10121;männlich;1952-09-21;Musterstraße 33;40213;Düsseldorf
10122;männlich;1995-05-07;Musterstraße 76;70173;Stuttgart
10123;männlich;2008-07-15;Musterstraße 5;20095;Hamburg
10124;divers;1967-09-13;Musterstraße 73;80331;München
10125;männlich;1987-01-31;Musterstraße 96;10115;Berlin
10126;männlich;1969-08-28;Musterstraße 86;04109;Leipzig
10127;männlich;2008-07-17;Musterstraße 97;60311;Frankfurt
10128;divers;1981-07-28;Musterstraße 52;40213;Düsseldorf
10129;weiblich;1987-11-18;Musterstraße 69;45127;Essen
10130;weiblich;1996-02-05;Musterstraße 27;10115;Berlin
10131;weiblich;1995-04-02;Musterstraße 54;80331;München
10132;divers;1980-06-06;Musterstraße 58;40213;Düsseldorf
10133;männlich;1966-06-22;Musterstraße 30;10115;Berlin
10134;männlich;1981-12-24;Musterstraße 81;45127;Essen
10135;weiblich;2006-11-21;Musterstraße 31;20095;Hamburg
10136;weiblich;1966-07-14;Musterstraße 30;04109;Leipzig
10137;weiblich;1940-08-21;Musterstraße 78;60311;Frankfurt
10138;divers;1988-05-17;Musterstraße 65;80331;München
10139;divers;1997-12-29;Musterstraße 79;40213;Düsseldorf
10140;divers;1965-12-06;Musterstraße 75;80331;München
10141;weiblich;1996-05-24;Musterstraße 3;04109;Leipzig
10142;divers;1947-06-15;Musterstraße 48;80331;München
10143;divers;1991-12-05;Musterstraße 49;70173;Stuttgart
10144;divers;1995-10-12;Musterstraße 18;10115;Berlin
10145;männlich;1941-10-24;Musterstraße 74;10115;Berlin
10146;divers;1956-01-12;Musterstraße 81;70173;Stuttgart
10147;weiblich;1971-02-11;Musterstraße 72;44135;Dortmund
10148;weiblich;1963-12-19;Musterstraße 88;60311;Frankfurt
10149;divers;1983-09-09;Musterstraße 47;45127;Essen
10150;männlich;2004-06-13;Musterstraße 76;80331;München
10151;divers;1986-09-01;Musterstraße 92;45127;Essen
10152;weiblich;1954-11-26;Musterstraße 86;45127;Essen
10153;männlich;1984-05-27;Musterstraße 99;70173;Stuttgart
10154;weiblich;1998-07-30;Musterstraße 92;44135;Dortmund
10155;weiblich;1950-12-30;Musterstraße 40;44135;Dortmund
10156;divers;1958-12-21;Musterstraße 24;10115;Berlin
10157;männlich;1974-01-11;Musterstraße 43;10115;Berlin
10158;divers;1971-08-20;Musterstraße 98;10115;Berlin
10159;weiblich;2008-04-23;Musterstraße 42;10115;Berlin
10160;männlich;1948-09-30;Musterstraße 82;50667;Köln
10161;divers;1984-11-01;Musterstraße 79;70173;Stuttgart
10162;männlich;1996-01-11;Musterstraße 89;04109;Leipzig
10163;männlich;1971-12-09;Musterstraße 74;70173;Stuttgart
10164;divers;1985-11-26;Musterstraße 95;45127;Essen
10165;männlich;1948-05-02;Musterstraße 69;45127;Essen
10166;männlich;1952-12-30;Musterstraße 30;50667;Köln
10167;männlich;1967-07-01;Musterstraße 42;70173;Stuttgart
10168;divers;1961-08-17;Musterstraße 46;60311;Frankfurt
10169;divers;1952-03-18;Musterstraße 84;20095;Hamburg
10170;weiblich;1984-10-31;Musterstraße 57;20095;Hamburg
10171;männlich;1954-01-09;Musterstraße 47;70173;Stuttgart
10172;männlich;1996-09-22;Musterstraße 54;10115;Berlin
10173;weiblich;2001-12-30;Musterstraße 90;40213;Düsseldorf
10174;männlich;1981-06-01;Musterstraße 96;04109;Leipzig
10175;divers;1961-02-22;Musterstraße 79;70173;Stuttgart
10176;weiblich;1984-03-16;Musterstraße 4;50667;Köln
10177;weiblich;1986-07-25;Musterstraße 41;60311;Frankfurt
10178;weiblich;1950-06-27;Musterstraße 2;04109;Leipzig
10179;männlich;1976-08-17;Musterstraße 11;50667;Köln
10180;männlich;1980-11-18;Musterstraße 51;50667;Köln
10181;divers;1995-03-22;Musterstraße 54;70173;Stuttgart
10182;divers;1968-06-02;Musterstraße 27;44135;Dortmund
10183;divers;1961-07-04;Musterstraße 45;40213;Düsseldorf
10184;männlich;1972-10-17;Musterstraße 21;45127;Essen
10185;divers;1960-02-05;Musterstraße 31;04109;Leipzig
10186;männlich;1996-02-27;Musterstraße 49;44135;Dortmund
10187;weiblich;1955-05-24;Musterstraße 28;80331;München
10188;männlich;1994-07-24;Musterstraße 3;70173;Stuttgart
10189;weiblich;1943-11-25;Musterstraße 58;50667;Köln
10190;männlich;2007-07-13;Musterstraße 98;60311;Frankfurt
10191;weiblich;1970-04-11;Musterstraße 56;04109;Leipzig
10192;männlich;1948-12-27;Musterstraße 90;80331;München
10193;divers;1972-08-06;Musterstraße 17;04109;Leipzig
10194;männlich;1948-02-04;Musterstraße 95;04109;Leipzig
10195;weiblich;1987-07-05;Musterstraße 91;80331;München
10196;divers;2006-02-09;Musterstraße 84;70173;Stuttgart
10197;divers;1942-04-20;Musterstraße 2;80331;München
10198;weiblich;1998-07-16;Musterstraße 49;04109;Leipzig
10199;weiblich;1974-10-04;Musterstraße 70;44135;Dortmund
10200;männlich;1946-08-07;Musterstraße 69;70173;Stuttgart
10201;divers;1994-03-29;Musterstraße 66;70173;Stuttgart
10202;weiblich;2006-01-24;Musterstraße 70;40213;Düsseldorf
10203;divers;1994-11-10;Musterstraße 34;60311;Frankfurt
10204;männlich;1985-04-29;Musterstraße 82;20095;Hamburg
10205;divers;1993-04-18;Musterstraße 60;10115;Berlin
10206;weiblich;1946-07-30;Musterstraße 28;20095;Hamburg
10207;weiblich;1983-08-13;Musterstraße 9;44135;Dortmund
10208;weiblich;1992-04-12;Musterstraße 17;60311;Frankfurt
10209;männlich;1964-04-27;Musterstraße 31;70173;Stuttgart
10210;weiblich;1968-10-10;Musterstraße 92;80331;München
10211;männlich;1989-05-16;Musterstraße 41;80331;München
10212;männlich;1942-09-13;Musterstraße 8;40213;Düsseldorf
10213;weiblich;1975-02-04;Musterstraße 52;20095;Hamburg
10214;divers;1966-08-24;Musterstraße 88;60311;Frankfurt
10215;weiblich;1957-03-10;Musterstraße 70;44135;Dortmund
10216;männlich;1968-01-19;Musterstraße 38;60311;Frankfurt
10217;männlich;1975-04-09;Musterstraße 81;50667;Köln
10218;weiblich;1968-07-27;Musterstraße 43;44135;Dortmund
10219;divers;1954-03-16;Musterstraße 50;80331;München
10220;weiblich;1966-08-13;Musterstraße 72;50667;Köln
10221;männlich;1977-07-08;Musterstraße 84;80331;München
10222;weiblich;1991-12-07;Musterstraße 69;80331;München
10223;divers;1991-08-23;Musterstraße 72;60311;Frankfurt
10224;weiblich;1944-02-08;Musterstraße 97;80331;München
10225;divers;1942-03-29;Musterstraße 61;20095;Hamburg
10226;weiblich;1971-06-07;Musterstraße 35;45127;Essen
10227;divers;1966-04-23;Musterstraße 55;70173;Stuttgart
10228;männlich;2009-10-06;Musterstraße 85;50667;Köln
10229;männlich;2003-12-08;Musterstraße 87;80331;München
10230;männlich;1978-12-22;Musterstraße 13;04109;Leipzig
10231;weiblich;1958-07-08;Musterstraße 28;80331;München
10232;männlich;1966-04-24;Musterstraße 79;04109;Leipzig
10233;weiblich;1959-05-03;Musterstraße 94;44135;Dortmund
10234;weiblich;1998-10-14;Musterstraße 67;80331;München
10235;männlich;1991-02-06;Musterstraße 45;70173;Stuttgart
10236;divers;1968-03-27;Musterstraße 90;04109;Leipzig
10237;weiblich;1987-07-11;Musterstraße 13;44135;Dortmund
10238;weiblich;1997-12-17;Musterstraße 88;40213;Düsseldorf
10239;weiblich;1956-08-03;Musterstraße 60;40213;Düsseldorf
10240;männlich;2004-01-27;Musterstraße 92;04109;Leipzig
10241;weiblich;1990-06-30;Musterstraße 96;04109;Leipzig
10242;weiblich;1985-01-28;Musterstraße 87;10115;Berlin
10243;weiblich;1969-09-22;Musterstraße 97;80331;München
10244;weiblich;1995-06-23;Musterstraße 86;60311;Frankfurt
10245;weiblich;1989-10-01;Musterstraße 80;44135;Dortmund
10246;weiblich;1985-02-17;Musterstraße 11;20095;Hamburg
10247;weiblich;1981-10-06;Musterstraße 29;70173;Stuttgart
10248;divers;1966-12-28;Musterstraße 30;40213;Düsseldorf
10249;divers;1942-06-02;Musterstraße 92;20095;Hamburg
10250;divers;2002-05-20;Musterstraße 6;70173;Stuttgart
10251;weiblich;1946-03-13;Musterstraße 4;04109;Leipzig
10252;divers;1957-12-17;Musterstraße 58;70173;Stuttgart
10253;weiblich;1994-07-15;Musterstraße 90;04109;Leipzig
10254;männlich;2000-06-02;Musterstraße 1;80331;München
10255;divers;1966-01-23;Musterstraße 74;44135;Dortmund
10256;weiblich;2003-08-19;Musterstraße 77;20095;Hamburg
10257;weiblich;1987-04-20;Musterstraße 58;40213;Düsseldorf
10258;weiblich;1958-04-19;Musterstraße 86;80331;München
10259;divers;1985-02-26;Musterstraße 87;50667;Köln
10260;männlich;1970-12-03;Musterstraße 31;04109;Leipzig
10261;divers;1984-03-28;Musterstraße 87;45127;Essen
10262;weiblich;1948-03-25;Musterstraße 23;10115;Berlin
10263;divers;1990-10-11;Musterstraße 36;60311;Frankfurt
10264;männlich;2002-07-09;Musterstraße 94;80331;München
10265;weiblich;2003-04-26;Musterstraße 92;20095;Hamburg
10266;männlich;1996-02-21;Musterstraße 62;04109;Leipzig
10267;männlich;1970-03-10;Musterstraße 80;50667;Köln
10268;weiblich;1975-12-21;Musterstraße 5;50667;Köln
10269;männlich;1989-08-21;Musterstraße 30;60311;Frankfurt
10270;männlich;1986-05-20;Musterstraße 32;04109;Leipzig
10271;männlich;1940-11-20;Musterstraße 52;50667;Köln
10272;divers;1952-01-10;Musterstraße 5;45127;Essen
10273;männlich;1966-06-24;Musterstraße 61;20095;Hamburg
10274;männlich;1981-01-11;Musterstraße 66;40213;Düsseldorf
10275;männlich;1946-12-30;Musterstraße 21;20095;Hamburg
10276;männlich;1998-06-28;Musterstraße 14;50667;Köln
10277;weiblich;1943-10-08;Musterstraße 94;10115;Berlin
10278;divers;1951-12-19;Musterstraße 32;80331;München
10279;weiblich;2006-09-15;Musterstraße 58;45127;Essen
10280;männlich;2005-11-25;Musterstraße 63;70173;Stuttgart
10281;weiblich;1971-11-12;Musterstraße 85;80331;München
10282;divers;1994-03-26;Musterstraße 37;50667;Köln
10283;männlich;1965-07-23;Musterstraße 6;50667;Köln
10284;divers;1952-09-18;Musterstraße 55;60311;Frankfurt
10285;divers;2001-03-30;Musterstraße 78;80331;München
10286;männlich;1999-07-10;Musterstraße 99;44135;Dortmund
10287;weiblich;1998-05-25;Musterstraße 66;04109;Leipzig
10288;divers;1943-03-05;Musterstraße 2;60311;Frankfurt
10289;männlich;1981-12-03;Musterstraße 70;60311;Frankfurt
10290;weiblich;1964-07-15;Musterstraße 90;45127;Essen
10291;weiblich;1950-12-30;Musterstraße 87;40213;Düsseldorf
10292;weiblich;2006-07-11;Musterstraße 44;50667;Köln
10293;männlich;1982-05-04;Musterstraße 45;50667;Köln
10294;weiblich;1957-02-19;Musterstraße 61;20095;Hamburg
10295;männlich;1973-11-14;Musterstraße 39;44135;Dortmund
10296;männlich;1954-03-18;Musterstraße 9;04109;Leipzig
10297;weiblich;1953-05-13;Musterstraße 27;50667;Köln
10298;männlich;1994-04-17;Musterstraße 78;44135;Dortmund
10299;weiblich;1984-02-21;Musterstraße 13;50667;Köln
10300;divers;1945-07-28;Musterstraße 20;50667;Köln
10301;männlich;1983-05-06;Musterstraße 26;60311;Frankfurt
10302;männlich;2008-07-01;Musterstraße 98;45127;Essen
10303;weiblich;1954-09-18;Musterstraße 86;04109;Leipzig
10304;divers;1999-06-22;Musterstraße 18;70173;Stuttgart
10305;männlich;1996-07-17;Musterstraße 27;04109;Leipzig
10306;weiblich;1982-01-31;Musterstraße 44;04109;Leipzig
10307;divers;1958-07-07;Musterstraße 59;40213;Düsseldorf
10308;männlich;1945-04-08;Musterstraße 72;60311;Frankfurt
10309;weiblich;1959-10-22;Musterstraße 44;80331;München
10310;männlich;1961-02-26;Musterstraße 96;40213;Düsseldorf
10311;männlich;1998-01-10;Musterstraße 44;45127;Essen
10312;divers;2001-02-04;Musterstraße 92;10115;Berlin
10313;männlich;1983-12-04;Musterstraße 96;45127;Essen
10314;divers;1998-03-20;Musterstraße 92;10115;Berlin
10315;weiblich;1943-11-22;Musterstraße 34;40213;Düsseldorf
10316;weiblich;1944-12-30;Musterstraße 58;45127;Essen
10317;männlich;1999-10-25;Musterstraße 30;45127;Essen
10318;weiblich;1961-06-14;Musterstraße 13;44135;Dortmund
10319;divers;1997-06-02;Musterstraße 50;50667;Köln
10320;divers;1969-01-21;Musterstraße 85;40213;Düsseldorf
10321;männlich;1943-03-07;Musterstraße 49;04109;Leipzig
10322;männlich;1974-03-21;Musterstraße 13;70173;Stuttgart
10323;weiblich;2008-03-15;Musterstraße 45;04109;Leipzig
10324;männlich;2004-05-30;Musterstraße 18;45127;Essen
10325;divers;1954-02-06;Musterstraße 55;80331;München
10326;divers;1942-12-04;Musterstraße 60;70173;Stuttgart
10327;männlich;1996-08-07;Musterstraße 69;40213;Düsseldorf
10328;divers;1954-03-21;Musterstraße 61;60311;Frankfurt
10329;divers;1968-04-29;Musterstraße 6;80331;München
10330;divers;1981-04-12;Musterstraße 63;04109;Leipzig
10331;männlich;1967-04-02;Musterstraße 80;04109;Leipzig
10332;divers;1953-02-22;Musterstraße 87;44135;Dortmund
10333;männlich;1996-11-07;Musterstraße 39;45127;Essen
10334;divers;2009-07-27;Musterstraße 71;80331;München
10335;divers;1975-09-24;Musterstraße 84;70173;Stuttgart
10336;männlich;1999-10-20;Musterstraße 23;20095;Hamburg
10337;männlich;1998-02-21;Musterstraße 69;60311;Frankfurt
10338;divers;1971-02-13;Musterstraße 34;04109;Leipzig
10339;weiblich;1991-01-18;Musterstraße 13;50667;Köln
10340;männlich;1995-10-17;Musterstraße 17;10115;Berlin
10341;weiblich;1946-06-26;Musterstraße 26;60311;Frankfurt
10342;weiblich;1988-08-04;Musterstraße 28;44135;Dortmund
10343;männlich;1967-06-21;Musterstraße 23;70173;Stuttgart
10344;weiblich;1947-06-01;Musterstraße 92;44135;Dortmund
10345;divers;1980-09-13;Musterstraße 72;04109;Leipzig
10346;divers;1972-07-08;Musterstraße 41;04109;Leipzig
10347;divers;2006-12-29;Musterstraße 91;60311;Frankfurt
10348;männlich;1960-12-21;Musterstraße 9;44135;Dortmund
10349;divers;2008-07-21;Musterstraße 26;70173;Stuttgart
10350;divers;1959-08-08;Musterstraße 18;60311;Frankfurt
10351;männlich;1986-02-01;Musterstraße 83;40213;Düsseldorf
10352;divers;2007-09-27;Musterstraße 57;44135;Dortmund
10353;divers;1986-04-25;Musterstraße 16;50667;Köln
10354;divers;1963-06-30;Musterstraße 79;40213;Düsseldorf
10355;weiblich;1962-06-15;Musterstraße 5;45127;Essen
10356;männlich;1951-08-13;Musterstraße 64;45127;Essen
10357;weiblich;1959-02-21;Musterstraße 58;50667;Köln
10358;divers;1983-04-11;Musterstraße 14;04109;Leipzig
10359;divers;1941-03-28;Musterstraße 18;60311;Frankfurt
10360;männlich;2003-01-30;Musterstraße 71;10115;Berlin
10361;divers;1963-11-04;Musterstraße 89;70173;Stuttgart
10362;männlich;2001-01-11;Musterstraße 41;20095;Hamburg
10363;divers;1967-07-04;Musterstraße 58;10115;Berlin
10364;weiblich;1944-11-09;Musterstraße 4;20095;Hamburg
10365;weiblich;1940-02-15;Musterstraße 79;70173;Stuttgart
10366;divers;1951-08-31;Musterstraße 42;10115;Berlin
10367;männlich;1983-03-11;Musterstraße 60;40213;Düsseldorf
10368;divers;1980-12-11;Musterstraße 92;80331;München
10369;männlich;1943-11-01;Musterstraße 77;80331;München
10370;weiblich;1959-07-30;Musterstraße 66;10115;Berlin
10371;divers;1988-05-23;Musterstraße 90;40213;Düsseldorf
10372;männlich;1974-05-21;Musterstraße 99;10115;Berlin
10373;männlich;1965-02-11;Musterstraße 44;40213;Düsseldorf
10374;weiblich;2002-02-18;Musterstraße 11;60311;Frankfurt
10375;divers;1959-11-20;Musterstraße 38;45127;Essen
10376;weiblich;2005-02-25;Musterstraße 49;45127;Essen
10377;divers;1956-07-12;Musterstraße 49;44135;Dortmund
10378;männlich;1999-04-14;Musterstraße 93;04109;Leipzig
10379;divers;1945-03-28;Musterstraße 42;40213;Düsseldorf
10380;männlich;1965-05-10;Musterstraße 11;04109;Leipzig
10381;divers;2000-08-04;Musterstraße 84;40213;Düsseldorf
10382;männlich;1998-11-30;Musterstraße 24;45127;Essen
10383;weiblich;1978-03-26;Musterstraße 57;40213;Düsseldorf
10384;männlich;1949-08-22;Musterstraße 81;60311;Frankfurt
10385;weiblich;2000-04-22;Musterstraße 9;04109;Leipzig
10386;weiblich;1989-09-17;Musterstraße 99;04109;Leipzig
10387;divers;1948-05-10;Musterstraße 94;20095;Hamburg
10388;weiblich;1945-02-01;Musterstraße 32;10115;Berlin
10389;weiblich;1970-03-09;Musterstraße 87;44135;Dortmund
10390;divers;1989-01-10;Musterstraße 13;10115;Berlin
10391;weiblich;2000-11-23;Musterstraße 8;04109;Leipzig
10392;weiblich;1975-03-15;Musterstraße 29;60311;Frankfurt
10393;männlich;1995-03-18;Musterstraße 1;80331;München
10394;weiblich;1986-05-13;Musterstraße 20;04109;Leipzig
10395;divers;1961-07-03;Musterstraße 15;70173;Stuttgart
10396;divers;2002-11-13;Musterstraße 34;44135;Dortmund
10397;männlich;1953-05-02;Musterstraße 47;10115;Berlin
10398;divers;1974-10-28;Musterstraße 74;45127;Essen
10399;divers;1989-02-01;Musterstraße 9;80331;München
10400;weiblich;1960-09-01;Musterstraße 75;45127;Essen
10401;weiblich;1954-05-13;Musterstraße 23;40213;Düsseldorf
10402;männlich;2008-07-16;Musterstraße 89;04109;Leipzig
10403;männlich;1980-08-15;Musterstraße 41;20095;Hamburg
10404;männlich;1975-07-20;Musterstraße 35;04109;Leipzig
10405;männlich;1960-03-14;Musterstraße 94;44135;Dortmund
10406;divers;1946-04-07;Musterstraße 33;45127;Essen
10407;weiblich;1990-10-30;Musterstraße 62;04109;Leipzig
10408;männlich;1961-10-22;Musterstraße 92;60311;Frankfurt
10409;weiblich;2003-09-26;Musterstraße 39;50667;Köln
10410;männlich;1976-10-22;Musterstraße 85;60311;Frankfurt
10411;weiblich;1952-09-11;Musterstraße 84;50667;Köln
10412;weiblich;1979-11-23;Musterstraße 85;60311;Frankfurt
10413;divers;1948-08-14;Musterstraße 17;04109;Leipzig
10414;weiblich;1998-02-25;Musterstraße 95;60311;Frankfurt
10415;weiblich;1966-01-12;Musterstraße 89;10115;Berlin
10416;männlich;2006-09-25;Musterstraße 89;20095;Hamburg
10417;divers;1940-05-09;Musterstraße 50;50667;Köln
10418;männlich;1950-05-16;Musterstraße 17;50667;Köln
10419;männlich;1945-05-25;Musterstraße 19;50667;Köln
10420;männlich;1952-11-30;Musterstraße 25;60311;Frankfurt
10421;divers;1971-07-27;Musterstraße 29;45127;Essen
10422;männlich;1942-02-09;Musterstraße 62;44135;Dortmund
10423;weiblich;2004-01-06;Musterstraße 58;20095;Hamburg
10424;weiblich;1995-10-06;Musterstraße 48;80331;München
10425;männlich;1943-03-01;Musterstraße 46;80331;München
10426;weiblich;1986-05-19;Musterstraße 58;45127;Essen
10427;divers;1968-01-04;Musterstraße 75;04109;Leipzig
10428;männlich;1990-07-29;Musterstraße 32;40213;Düsseldorf
10429;weiblich;1945-07-18;Musterstraße 39;44135;Dortmund
10430;weiblich;1978-08-11;Musterstraße 22;80331;München
10431;divers;1964-01-18;Musterstraße 68;50667;Köln
10432;männlich;2001-01-13;Musterstraße 66;20095;Hamburg
10433;männlich;1985-11-16;Musterstraße 37;80331;München
10434;weiblich;2003-05-12;Musterstraße 8;50667;Köln
10435;weiblich;1975-07-15;Musterstraße 61;20095;Hamburg
10436;weiblich;1976-12-02;Musterstraße 10;44135;Dortmund
10437;divers;1949-08-15;Musterstraße 47;70173;Stuttgart
10438;weiblich;1991-07-14;Musterstraße 87;20095;Hamburg
10439;divers;1976-07-17;Musterstraße 81;80331;München
10440;weiblich;1997-02-10;Musterstraße 12;44135;Dortmund
